academic_year,state_ut,total_schools,total_enrolment,total_teachers,pupil_teacher_ratio,avg_teachers_per_school,avg_enrolment_per_school,zero_enrolment_schools,teachers_in_zero_enrolment_schools,single_teacher_schools,enrolment_in_single_teacher_schools,school_change_yoy,enrolment_change_yoy,teacher_change_yoy
2023,Andaman & Nicobar Islands,412,72119,5750,13,14,175,3,3,11,87,,,
2023,Andhra Pradesh,61373,8741885,338293,26,6,142,84,251,12611,218016,,,
2023,Arunachal Pradesh,3490,323717,24700,13,7,93,240,58,618,7980,,,
2023,Assam,56630,6922533,342199,20,6,122,0,0,2633,92888,,,
2023,Bihar,94686,21348149,657063,32,7,225,117,544,2637,291127,,,
2023,Chandigarh,230,265706,10237,26,45,1155,0,0,0,0,,,
2023,Chhattisgarh,56615,5776548,278798,21,5,102,108,148,5840,215592,,,
2023,Dadra & Nagar Haveli and Daman & Diu,432,141282,4995,28,12,327,0,0,1,5,,,
2023,Delhi,5497,4506578,160479,28,29,820,0,0,13,454,,,
2023,Goa,1487,304735,14594,21,10,205,4,16,238,3142,,,
2023,Gujarat,53626,11496709,394053,29,7,214,274,382,2462,87322,,,
2023,Haryana,23517,5599742,250909,22,11,238,81,178,867,40828,,,
2023,Himachal Pradesh,17826,1426412,101131,14,6,80,6,10,3473,65819,,,
2023,Jammu & Kashmir,24296,2629949,167046,16,7,108,119,238,1330,31054,,,
2023,Jharkhand,44475,7143255,206591,35,5,161,199,398,8353,410199,,,
2023,Karnataka,75869,11926303,433942,27,6,157,1078,1572,7821,274814,,,
2023,Kerala,15864,6281704,291096,22,18,396,104,504,76,1224,,,
2023,Ladakh,995,56642,6432,9,6,57,35,21,83,733,,,
2023,Lakshadweep,37,12591,911,14,25,340,0,0,0,0,,,
2023,Madhya Pradesh,123412,15361543,639525,24,5,124,1211,1924,13198,587208,,,
2023,Maharashtra,108237,21375970,738114,29,7,197,18,76,8196,167534,,,
2023,Manipur,4646,647434,40921,16,9,139,83,354,320,7699,,,
2023,Meghalaya,14601,1052884,55726,19,4,72,146,277,1451,51456,,,
2023,Mizoram,3941,293763,23013,13,6,75,39,73,96,3039,,,
2023,Nagaland,2725,412975,32602,13,12,152,12,24,31,368,,,
2023,Odisha,61693,7756910,335496,23,5,126,8,16,1065,50189,,,
2023,Puducherry,735,244828,13202,19,18,333,0,0,0,0,,,
2023,Punjab,27404,5988681,273092,22,10,219,15,35,2092,69532,,,
2023,Rajasthan,107757,16786065,775745,22,7,156,2167,4398,7688,225187,,,
2023,Sikkim,1254,121395,15489,8,12,97,1,1,34,282,,,
2023,Tamil Nadu,58722,12993050,550558,24,9,221,490,889,2758,80586,,,
2023,Telangana,42901,7293644,341460,21,8,170,2097,2000,5985,88429,,,
2023,Tripura,4923,689408,37661,18,8,140,10,12,311,6885,,,
2023,Uttar Pradesh,255087,41662794,1538479,27,6,163,906,2895,8866,611950,,,
2023,Uttarakhand,22551,2372400,130741,18,6,105,45,57,3447,53773,,,
2023,West Bengal,93945,18015525,576557,31,6,192,3254,14627,6366,248696,,,
2024,Andaman and Nicobar Islands,408,71343,6132,12,15,175,0,0,4,89,,,
2024,Andhra Pradesh,61317,8454817,342721,25,6,138,1,3,12912,197113,-56.0,-287068.0,4428.0
2024,Arunachal Pradesh,3229,319826,25117,13,8,99,21,15,562,6912,-261.0,-3891.0,417.0
2024,Assam,55283,7041824,340471,21,6,127,0,0,2820,92699,-1347.0,119291.0,-1728.0
2024,Bihar,94339,21133228,707516,30,7,224,5,17,1865,175500,-347.0,-214921.0,50453.0
2024,Chandigarh,207,253012,9968,25,48,1222,0,0,0,0,-23.0,-12694.0,-269.0
2024,Chhattisgarh,56802,5806871,285248,20,5,102,0,0,5973,213237,187.0,30323.0,6450.0
2024,Dadra and Nagar Haveli and Daman and Diu,433,146825,5288,28,12,339,0,0,0,0,,,
2024,Delhi,5556,4491032,161958,28,29,808,0,0,9,1089,59.0,-15546.0,1479.0
2024,Goa,1479,300546,15196,20,10,203,0,0,62,771,-8.0,-4189.0,602.0
2024,Gujarat,53355,11501328,389063,30,7,216,63,78,2936,105134,-271.0,4619.0,-4990.0
2024,Haryana,23494,5769330,263942,22,11,246,0,0,1066,43400,-23.0,169588.0,13033.0
2024,Himachal Pradesh,17330,1425266,102825,14,6,82,0,0,2964,46329,-496.0,-1146.0,1694.0
2024,Jammu and Kashmir,24192,2654012,166717,16,7,110,146,61,1371,32303,,,
2024,Jharkhand,44376,7436931,209203,36,5,168,107,31,9172,436480,-99.0,293676.0,2612.0
2024,Karnataka,74859,11780251,452602,26,6,157,270,308,7349,223142,-1010.0,-146052.0,18660.0
2024,Kerala,15757,6164059,292072,21,19,391,47,19,63,920,-107.0,-117645.0,976.0
2024,Ladakh,961,57107,6908,8,7,59,10,18,54,306,-34.0,465.0,476.0
2024,Lakshadweep,36,12325,751,16,21,342,0,0,0,0,-1.0,-266.0,-160.0
2024,Madhya Pradesh,122120,15172607,717493,21,6,124,463,223,7217,229095,-1292.0,-188936.0,77968.0
2024,Maharashtra,108250,21272611,747501,28,7,197,0,0,8152,150146,13.0,-103359.0,9387.0
2024,Manipur,4666,673118,41490,16,9,144,35,60,383,9115,20.0,25684.0,569.0
2024,Meghalaya,14587,1061320,57002,19,4,73,74,152,1414,49807,-14.0,8436.0,1276.0
2024,Mizoram,3974,279882,24952,11,6,70,32,27,117,3056,33.0,-13881.0,1939.0
2024,Nagaland,2750,414421,33131,13,12,151,0,0,26,292,25.0,1446.0,529.0
2024,Odisha,61565,7644052,344116,22,6,124,3,1,1089,47940,-128.0,-112858.0,8620.0
2024,Puducherry,763,240691,13639,18,18,315,0,0,0,0,28.0,-4137.0,437.0
2024,Punjab,27281,5908507,273130,22,10,217,13,9,2431,76942,-123.0,-80174.0,38.0
2024,Rajasthan,106302,16364187,792265,21,7,154,215,293,6117,172071,-1455.0,-421878.0,16520.0
2024,Sikkim,1245,117576,14994,8,12,94,0,0,36,319,-9.0,-3819.0,-495.0
2024,Tamil Nadu,57935,12518167,549850,23,9,216,311,432,3671,95353,-787.0,-474883.0,-708.0
2024,Telangana,43154,7457851,357911,21,8,173,2245,1016,5001,62288,253.0,164207.0,16451.0
2024,Tripura,4943,690084,37733,18,8,140,0,0,340,6492,20.0,676.0,72.0
2024,Uttar Pradesh,262358,42789347,1615427,26,6,163,81,56,9508,624327,7271.0,1126553.0,76948.0
2024,Uttarakhand,22452,2426815,134263,18,6,108,39,33,2959,38608,-99.0,54415.0,3522.0
2024,West Bengal,93715,17081511,583825,29,6,182,3812,17965,6482,23549432,-230.0,-934014.0,7268.0
